TeamsTop8,Player,Position,Total Kills,Total Deaths,Total Assists,Avg KDA
GAM Esports,Kiaya,top,337,200,503,4.20
GAM Esports,Levi,jng,335,210,716,5.00
GAM Esports,Kati,mid,331,249,666,4.00
GAM Esports,Sty1e,bot,439,231,589,4.45
GAM Esports,Bie,sup,100,166,809,5.48
Gen.G,Doran,top,243,236,545,3.34
Gen.G,Peanut,jng,256,168,649,5.39
Gen.G,Chovy,mid,353,126,551,7.17
Gen.G,Ruler,bot,452,139,468,6.62
Gen.G,Lehends,sup,58,207,865,4.46
SKT T1,Zeus,top,387,322,678,3.31
SKT T1,Oner,jng,412,258,876,4.99
SKT T1,Faker,mid,377,246,717,4.45
SKT T1,Gumayusi,bot,544,246,688,5.01
SKT T1,Keria,sup,116,286,1147,4.42
CTBC Flying Oyster,Rest,top,195,136,351,4.01
CTBC Flying Oyster,Gemini,jng,187,154,453,4.16
CTBC Flying Oyster,Mission,mid,246,134,440,5.12
CTBC Flying Oyster,Shunn,bot,224,76,273,6.54
CTBC Flying Oyster,Koala,sup,58,153,567,4.08
Royal Never Give UP,Breathe,top,389,297,585,3.28
Royal Never Give UP,Wei,jng,484,351,1065,4.41
Royal Never Give UP,Xiaohu,mid,574,313,1087,5.31
Royal Never Give UP,GALA,bot,698,270,853,5.74
Royal Never Give UP,Ming,sup,130,395,1496,4.12
JD Gaming,369,top,327,329,751,3.28
JD Gaming,Kanavi,jng,462,314,813,4.06
JD Gaming,Yagao,mid,378,234,773,4.92
JD Gaming,Hope,bot,521,226,651,5.19
JD Gaming,Missing,sup,83,302,1196,4.24
G2 Esports,BrokenBlade,top,283,189,490,4.09
G2 Esports,Jankos,jng,252,253,650,3.57
G2 Esports,caPs,mid,346,224,541,3.96
G2 Esports,Flakked,bot,337,159,524,5.42
G2 Esports,Targamas,sup,95,174,816,5.24
Rogue,Odoamne,top,166,138,403,4.12
Rogue,Malrang,jng,152,181,551,3.88
Rogue,Larssen,mid,258,111,440,6.29
Rogue,Comp,bot,321,111,348,6.03
Rogue,Trymbi,sup,67,180,656,4.02
