Name,Latitude,Longitude
Fnatic,51.507351,-0.127758
SKT T1,37.5669826,126.9782352
Edward Gaming,31.2203102,121.4623931
Cloud9,34.0114166,-118.4920097
JD Gaming,39.9027484,116.4008194
DWG KIA,36.628550,108.169558
G2 Esports,52.5187416,13.4080224
Evil Geniuses,47.6037757,-122.3307651
Rogue,51.2094391,10.4573475
DRX,35.65353163,130.9533035
Top Esports,35.8600198,104.165802
GAM Esports,13.3186546,108.3680998
Royal Never Give UP,48.82768674,122.0113538
Gen.G,42.956517,126.5952571
CTBC Flying Oyster,23.7520542,120.9273183
100 Thieves,34.053345,-110.242349
Worlds 2022,37.774929,-122.419418
